N,a,r,rho_C,p_p_C,p_t_C,delta_p,H,H_p,H_t,H_t_over_H_p,delta_over_H,casimir_fraction,constraint_residual,continuity_residual,r0,epsilon
6.9199999999999999,1012.3199945349154,0.49999496397414611,-1.0466878483924242e-12,4.1835890970890624e-13,-7.3252337905066521e-13,-1.1508822887595715e-12,1,1.0000000000000775,0.99999999999996125,0.99999999999988376,-1.1637742261642659e-13,-3.4889594946414143e-17,0,1.9294041871867496e-16,0.5,0.0001
6.9400000000000004,1032.7702149603992,0.499994963974145,-9.6621466241530329e-13,3.861939482087837e-13,-6.7620430531204347e-13,-1.0623982535208272e-12,1,1.0000000000000731,0.99999999999996347,0.99999999999989042,-1.0960084581123139e-13,-3.2207155413843442e-17,0,1.0450493021486595e-16,0.5,0.0001
6.96,1053.6335572423195,0.49999496397414389,-8.9192854899401427e-13,3.5650194646712499e-13,-6.2421524773056953e-13,-9.8071719419769462e-13,1,1.0000000000000688,0.99999999999996558,0.99999999999989675,-1.0322091795630376e-13,-2.973095163313381e-17,0,0,0.5,0.0001
6.9800000000000004,1074.9183669957724,0.49999496397414289,-8.2335382338528771e-13,3.2909277430245773e-13,-5.7622329884387265e-13,-9.0531607314633043e-13,1,1.0000000000000648,0.99999999999996758,0.99999999999990274,-9.7214538895184537e-14,-2.7445127446176261e-17,0,1.2263767167938506e-16,0.5,0.0001
7,1096.6331584284585,0.49999496397414195,-7.6005137322689662e-13,3.0379091943632866e-13,-5.3192114633161259e-13,-8.3571206576794125e-13,1,1.0000000000000611,0.99999999999996947,0.99999999999990841,-9.1559185893859559e-14,-2.533504577422989e-17,0,1.328518037400448e-16,0.5,0.0001
7.0200000000000005,1118.7866177464875,0.49999496397414106,-7.0161584671935779e-13,2.8043436361550136e-13,-4.9102510516742958e-13,-7.7145946878293094e-13,1,1.0000000000000575,0.99999999999997125,0.99999999999991374,-8.6232496779421769e-14,-2.3387194890645262e-17,0,0,0.5,0.0001
7.04,1141.3876066289679,0.49999496397414023,-6.4767305699054127e-13,2.5887354514200458e-13,-4.5327330106627295e-13,-7.1214684620827753e-13,1,1.0000000000000542,0.99999999999997291,0.99999999999991873,-8.1212812389047531e-14,-2.158910189968471e-17,0,0,0.5,0.0001
7.0600000000000005,1164.4451657728052,0.49999496397413945,-5.9787758602217135e-13,2.3897040116764371e-13,-4.184239935949075e-13,-6.5739439476255126e-13,1,1.0000000000000511,0.99999999999997446,0.99999999999992339,-7.6484800815777761e-14,-1.9929252867405714e-17,0,1.688877426231972e-16,0.5,0.0001
7.0800000000000001,1187.9685185090932,0.49999496397413873,-5.5191057279524989e-13,2.2059748362042526e-13,-3.8625402820783756e-13,-6.0685151182826285e-13,1,1.000000000000048,0.99999999999997602,0.99999999999992806,-7.203196226636022e-14,-1.8397019093174996e-17,0,1.8295390747252573e-16,0.5,0.0001
7.1000000000000005,1211.9670744925775,0.49999496397413801,-5.0947767149090611e-13,2.0363714310177312e-13,-3.5655740729633962e-13,-5.6019455039811274e-13,1,1.0000000000000453,0.99999999999997735,0.99999999999993205,-6.7838220908709447e-14,-1.698258904969687e-17,0,9.9095800972794058e-17,0.5,0.0001
7.1200000000000001,1236.450433465634,0.49999496397413734,-4.7030716667225713e-13,1.8798077552872249e-13,-3.2914397110048982e-13,-5.1712474662921228e-13,1,1.0000000000000426,0.99999999999997868,0.99999999999993605,-6.3888528468929839e-14,-1.5676905555741904e-17,0,0,0.5,0.0001
7.1400000000000006,1261.4283890983033,0.49999496397413673,-4.341482333779441e-13,1.7352812669700091e-13,-3.0383818003747253e-13,-4.7736630673447339e-13,1,1.0000000000000402,0.9999999999999799,0.99999999999993971,-6.0168763405450523e-14,-1.4471607779264804e-17,0,0,0.5,0.0001
7.1600000000000001,1286.9109329058804,0.49999496397413618,-4.0076933098606131e-13,1.6018665031185338e-13,-2.8047799064895737e-13,-4.4066464096081076e-13,1,1.0000000000000377,0.99999999999998113,0.99999999999994338,-5.6665643897606462e-14,-1.3358977699535378e-17,0,0,0.5,0.0001
7.1799999999999997,1312.908258245661,0.49999496397413562,-3.6995672056367008e-13,1.4787091537579256e-13,-2.5891381796973133e-13,-4.0678473334552386e-13,1,1.0000000000000355,0.99999999999998224,0.99999999999994671,-5.3366653483767152e-14,-1.233189068545567e-17,0,1.3646757884874359e-16,0.5,0.0001
7.2000000000000002,1339.430764394418,0.49999496397413506,-3.415130962079165e-13,1.3650205913854911e-13,-2.3900757767323284e-13,-3.7550963681178192e-13,1,1.0000000000000335,0.99999999999998324,0.99999999999994971,-5.0259978184123495e-14,-1.1383769873597217e-17,0,1.4783356332375661e-16,0.5,0.0001
7.2199999999999998,1366.4890607082466,0.49999496397413462,-3.1525632161464017e-13,1.2600728210623044e-13,-2.2063180186043529e-13,-3.4663908396666576e-13,1,1.0000000000000315,0.99999999999998423,0.9999999999999527,-4.733445394323767e-14,-1.050854405382134e-17,0,1.6014618731693223e-16,0.5,0.0001
7.2400000000000002,1394.0939708664566,0.49999496397413412,-2.910182637841965e-13,1.1631938187601368e-13,-2.0366882283010511e-13,-3.1998820470611879e-13,1,1.0000000000000298,0.99999999999998512,0.99999999999995537,-4.4579523227461392e-14,-9.70060879280655e-18,0,0,0.5,0.0001
7.2599999999999998,1422.2565372011795,0.49999496397413373,-2.6864371639625033e-13,1.0737632281133804e-13,-1.8801001960379419e-13,-2.9538634241513221e-13,1,1.000000000000028,0.99999999999998601,0.99999999999995803,-4.1985199612332312e-14,-8.9547905465416782e-18,0,0,0.5,0.0001
7.2800000000000002,1450.9880251144575,0.49999496397413329,-2.4798940595943387e-13,9.9120838802034439e-14,-1.7355512238073414e-13,-2.7267596118276859e-13,1,1.0000000000000264,0.99999999999998679,0.99999999999996037,-3.9542039195051242e-14,-8.2663135319811291e-18,0,1.0179285227693115e-16,0.5,0.0001
7.2999999999999998,1480.299927584545,0.4999949639741329,-2.2892307437186533e-13,9.1500066565713034e-14,-1.6021157046878918e-13,-2.5171163703450222e-13,1,1.0000000000000249,0.99999999999998757,0.9999999999999627,-3.7241117667150619e-14,-7.6307691457288457e-18,0,0,0.5,0.0001
7.3200000000000003,1510.2039697632631,0.49999496397413257,-2.1132263201775213e-13,8.4465207142275006e-14,-1.4789391958001357e-13,-2.3235912672228857e-13,1,1.0000000000000233,0.99999999999998834,0.99999999999996503,-3.5074011882456979e-14,-7.0440877339250704e-18,0,0,0.5,0.0001
7.3399999999999999,1540.7121136662065,0.49999496397413223,-1.9507537597703527e-13,7.7971213413967581e-14,-1.3652329469550143e-13,-2.14494508109469e-13,1,1.000000000000022,0.99999999999998901,0.99999999999996703,-3.3032784755457678e-14,-6.5025125325678428e-18,0,1.2940407696584041e-16,0.5,0.0001
7.3600000000000003,1571.8365629577199,0.4999949639741319,-1.8007726834191985e-13,7.1976501650034379e-14,-1.2602688499597711e-13,-1.980033866460115e-13,1,1.0000000000000207,0.99999999999998967,0.99999999999996902,-3.1109972325174894e-14,-6.0025756113973291e-18,0,1.4018176308151007e-16,0.5,0.0001
7.3799999999999999,1603.5897678325152,0.49999496397413162,-1.662322700190792e-13,6.6442685228871616e-14,-1.163374776239754e-13,-1.8278016285284703e-13,1,1.0000000000000195,0.99999999999999023,0.99999999999997069,-2.9298571819656745e-14,-5.5410756673026409e-18,0,1.5185709107007443e-16,0.5,0.0001
7.4000000000000004,1635.984429995927,0.49999496397413135,-1.5345172575156884e-13,6.1334328832593252e-14,-1.0739302729208105e-13,-1.687273561246743e-13,1,1.0000000000000184,0.99999999999999079,0.99999999999997236,-2.7592029556189044e-14,-5.1150575250522954e-18,0,0,0.5,0.0001
