run_id,run_kind,perturbation,r0,epsilon,delta0,max_q,N_at_max_q,first_crossing_N,last_crossing_N,dwell_time_within_0p1_percent,dwell_time_within_1_percent,q_at_N_10,q_at_N_20,max_abs_delta_over_H,max_abs_casimir_fraction,minimum_H_p,minimum_H_t,constraint_residual,continuity_residual,classification,valid,invalid_reason
253,grid,baseline,2.0,1.0491397291363112e-05,0.0,1.0000027656915265,0.29,,,0.0,0.0,1.0000000000000009,0.9999999999999997,2.7656864271303673e-06,4.430556496896675e-06,0.9999972315068038,0.9999977847291127,1.4803029549832923e-16,3.313196323269625e-16,NO_CROSSING,True,
254,grid,baseline,2.0,1.4677992676220705e-05,0.0,1.0000038693485882,0.29,,,0.0,0.0,1.0000000000000002,1.0,3.869338606867465e-06,6.198582417972775e-06,0.9999961267366463,0.9999969007231994,1.4803051852140208e-16,3.266268286591352e-16,NO_CROSSING,True,
255,grid,baseline,2.0,2.0535250264571462e-05,0.0,1.0000054134270364,0.29,,,0.0,0.0,1.0000000000000004,1.0,5.413407499563005e-06,8.672150130035242e-06,0.9999945811056211,0.9999956639531371,1.4803092165367567e-16,3.3430510017172027e-16,NO_CROSSING,True,
256,grid,baseline,2.0,2.8729848333536687e-05,0.0,1.0000075736835612,0.29,,,0.0,0.0,0.9999999999999993,0.9999999999999967,7.573645320757807e-06,1.2132816350789878e-05,0.9999924186861564,0.999993933647026,1.4803139454835448e-16,3.2626097098606437e-16,NO_CROSSING,True,
257,grid,baseline,2.0,4.019450333615128e-05,0.0,1.0000105960167514,0.29,,,0.0,0.0,1.0000000000000007,1.0,1.0595941901397175e-05,1.6974502710765875e-05,0.9999893933449032,0.9999915128566933,1.4803224934785298e-16,3.309470903353531e-16,NO_CROSSING,True,
258,grid,baseline,2.0,5.623413251903491e-05,0.0,1.0000148244631133,0.29,,,0.0,0.0,1.0000000000000007,1.0,1.482431660491725e-05,2.374834421352073e-05,0.9999851607253539,0.999988126039383,1.4803311423147863e-16,3.002438833469619e-16,NO_CROSSING,True,
259,grid,baseline,2.0,7.86743807659941e-05,0.0,1.0000207403705021,0.29,,,0.0,0.0,0.9999999999999997,0.999999999999996,2.0740083730805727e-05,3.3225443302523556e-05,0.9999792390484425,0.9999833876923111,1.4803465497030857e-16,3.2399221262759097e-16,NO_CROSSING,True,
260,grid,baseline,2.0,0.00011006941712522103,0.0,1.0000290172147648,0.29,,,0.0,0.0,1.0000000000000007,0.9999999999999997,2.9016653443117925e-05,4.648468321266368e-05,0.9999709542673428,0.999976758468672,1.4803514944022237e-16,3.085206080677616e-16,NO_CROSSING,True,
261,grid,baseline,2.0,0.0001539926526059492,0.0,1.0000405973124973,0.29,,,0.0,0.0,1.0,1.0,4.0596213765916707e-05,6.503561704421962e-05,0.9999593633298668,0.9999674837775038,1.4803827511902523e-16,3.230901779244705e-16,NO_CROSSING,True,
262,grid,baseline,2.0,0.00021544346900318845,0.0,1.0000567991882048,0.29,,,0.0,0.0,0.9999999999999997,0.999999999999997,5.67970375209254e-05,9.099046188428093e-05,0.999943146806164,0.9999545078735464,1.4804320591079491e-16,3.0200352443026763e-16,NO_CROSSING,True,
