r,Lp,Lt,rho,p_p,p_t,p_t_minus_p_p,trace,p2_p3_abs_split,w_p,w_t,rho_fit_rms,p_p_fit_rms,p_t_fit_rms
1,1,1,-0.83753589299172548,-0.27917863099724255,-0.27917863099724161,9.4368957093138306e-16,-2.2204460492503131e-16,4.9960036108132044e-16,0.3333333333333342,0.33333333333333309,1.1078541109658455e-07,3.692847082950981e-08,3.6928470696751702e-08
1.0472941228206267,1,1.0472941228206267,-0.74150617231173899,-0.29393266212223002,-0.22378675509475507,0.070145907027474946,-1.1657341758564144e-15,1.6653345369377348e-16,0.39639948135004444,0.30180025932497856,9.8033796024584169e-08,3.6699045207087897e-08,3.0667381227380964e-08
1.0968249796946259,1,1.0968249796946259,-0.65845063454777242,-0.30463880398970006,-0.17690591527903698,0.12773288871066307,-1.609823385706477e-15,2.7755575615628914e-16,0.4626600507400645,0.26866997462996894,8.6916455235822117e-08,3.6180054221237946e-08,2.5368219711014001e-08
1.1486983549970349,1,1.1486983549970349,-0.58653833860170523,-0.31230871915566066,-0.13711480972302115,0.17519390943263952,2.2759572004815709e-15,3.0531133177191805e-16,0.53246087868731296,0.23376956065634158,7.7210111447791889e-08,3.5406866970028726e-08,2.0901659838794408e-08
1.2030250360821166,1,1.2030250360821166,-0.52421387550025089,-0.31772905505460486,-0.10324241022282357,0.21448664483178129,-1.1102230246251565e-15,4.163336342344337e-17,0.6061057707627443,0.1969471146186289,6.8721950889314174e-08,3.4416183648841965e-08,1.7152942266619452e-08
1.2599210498948732,1,1.2599210498948732,-0.47015296961682074,-0.32150455497633551,-0.074324207320242724,0.24718034765609279,-2.2204460492503131e-16,1.2490009027033011e-16,0.68382968045137493,0.15808515977431278,6.1285711575038685e-08,3.32449097010249e-08,1.4020480228139718e-08
1.3195079107728942,1,1.3195079107728942,-0.42322553279241543,-0.32409432350873346,-0.049565604641840677,0.27452871886689278,6.106226635438361e-16,2.2898349882893854e-16,0.76577214368514002,0.1171139281574293,5.4758231648867158e-08,3.1929145456160479e-08,1.1414642937144061e-08
1.381912879967776,1,1.381912879967776,-0.38246493205457927,-0.32584216232092544,-0.028311384866826578,0.29753077745409884,6.6613381477509392e-16,1.0061396160665481e-16,0.85195304199660971,0.074023479001694287,4.9016405562511887e-08,3.0503315562504955e-08,9.2566639165806354e-09
1.4472692374403779,1,1.4472692374403779,-0.34704242806937874,-0.32700174186054398,-0.010020343104418017,0.31698139875612596,-1.27675647831893e-15,8.3266726846886741e-17,0.94225292186801912,0.028873539065992264,4.3954498933616626e-08,2.8999474230746554e-08,7.4776480388770863e-09
1.515716566510398,1,1.515716566510398,-0.31624590706322281,-0.32775727084944334,0.0057556818931106622,0.33351295274255399,7.9450335199737765e-16,5.9847959921199845e-17,1.036400040377184,-0.018200020188593322,3.9481785488720795e-08,2.744678745414345e-08,6.0176489137750374e-09
