t,a,rho,rho_dot,Theta,mu,H,energy_density,pressure,friedmann_residual,charge,continuity_residual
3.7800000000000002,3.0377305204578557,0.2970469106311917,0.03179125703177299,3.65020224437102,0.45427399852498673,0.134432523917837,0.05421631046070927,-0.034996637201796944,5.017514181915317e-14,1.1236102527122116,8.673617379884035e-19
3.79,3.041815511546125,0.29735206605346853,0.029239881172964,3.6547311242090603,0.4515180972757315,0.13433728060761171,0.05413951488375006,-0.03525883984148477,-6.054254320098096e-13,1.1236102527122116,4.336808689942018e-18
3.8000000000000003,3.045903120263812,0.2976317101590364,0.026689075149457106,3.659232925896415,0.4488580686601264,0.13424368701335992,0.054064102509984856,-0.03550433351071528,-1.1620357454056318e-12,1.1236102527122116,8.673617379884035e-19
3.81,3.049993391344399,0.2978858510730148,0.024139323228437596,3.6637085992772747,0.4462921491147502,0.13415165294702067,0.0539899979664707,-0.03573315288437364,-1.21706811295752e-12,1.1236102527122116,0.0
3.8200000000000003,3.054086367025325,0.2981145017262519,0.021591101758380193,3.6681590769284838,0.44381864667561727,0.13406108878492365,0.05391712657984351,-0.03594533903930335,-1.2459686060672936e-12,1.1236102527122116,0.0
3.83,3.0581820870474057,0.2983176797727765,0.01904487939074045,3.672585274852241,0.4414359389923087,0.1339719054963241,0.053845414388183854,-0.036140939400325534,-1.2358725154371086e-12,1.1236102527122116,-1.734723475976807e-18
3.84,3.062280588655603,0.2984954075158413,0.016501117297271856,3.676988093168067,0.43914247140893686,0.1338840146713476,0.05377478815481279,-0.03632000768524701,-1.259922721708051e-12,1.1236102527122116,5.204170427930421e-18
3.85,3.066381906600705,0.29864771183382344,0.013960269374145098,3.6813684167793754,0.4369367551357254,0.13379732854866389,0.05370517538164836,-0.036482603846009945,-1.3710421686852214e-12,1.1236102527122116,8.673617379884035e-19
3.86,3.070486073141967,0.2987746241082978,0.011422782436558147,3.68572711602292,0.43481736550147015,0.13371176004278262,0.053636504322775336,-0.03662879400683457,-1.5592943602982245e-12,1.1236102527122116,0.0
3.87,3.0745931180507005,0.29887618015415396,0.00888909640424752,3.690065047301684,0.4327829402846796,0.13362722277095948,0.05356870399819283,-0.03675865039940761,-1.7539303343028223e-12,1.1236102527122116,-8.673617379884035e-19
3.88,3.0787030686148174,0.29895242015162804,0.006359644478315149,3.6943830537017632,0.43083217812127306,0.13354363107969816,0.053501704207705586,-0.03687225129516547,-1.85401693997278e-12,1.1236102527122116,2.6020852139652106e-18
