Galaxy,Upsilon_disk,Upsilon_bulge,H0,Chi2_nu,dof,High_Fidelity,Prior_Clipped
UGC06973,0.0381079304657139,3.878978411652892,73.17003716537107,0.6389748337162203,6,1,0
UGC06983,0.202562433423095,4.100823196238247,72.401574433321,0.5837287649600701,14,1,0
UGC07089,0.0374050911415904,4.074932482263584,70.23917196500749,0.4366977854277015,9,1,0
UGC07125,0.2501268931403899,3.9001994218228337,72.9061766928146,1.1144029720237498,10,1,0
UGC07151,0.022023757556718447,3.924890126779849,72.81161973427028,0.7001326261981309,8,1,0
UGC07232,0.0165045092902389,4.128206194340289,68.14526845647363,5.717728230952826,1,0,0
UGC07261,0.0542515788922049,4.057466773907287,68.46592041091618,1.1001749173338067,4,1,0
UGC07323,0.019277991957551602,3.8014185304047965,69.66676070748724,0.7617935833931652,7,1,0
UGC07399,0.0585121490139453,4.017129655734394,73.50416992244608,0.6221388422526722,7,1,0
UGC07524,0.0222677718143359,3.800211204430142,69.2686493116806,0.46020584257657493,28,1,0
UGC07559,0.0328683210817813,3.742242779109835,68.63137027180947,1.3738943549481972,4,1,0
UGC07577,0.0124956958492586,4.19662038379034,59.35686938278168,2.9489376131017475,6,1,0
UGC07603,0.0282221231268257,4.249039041743128,67.61938176343347,0.6975639365228189,9,1,0
UGC07608,0.0715431907690679,4.182450408426281,69.34233500947825,1.3386920179325261,5,1,0
UGC07690,0.05987217601669975,4.2060808941279895,72.61174910782992,0.8782739806201745,4,1,0
UGC07866,0.0239328011093624,3.6679451672201058,69.25877410517191,1.3276083800804543,4,1,0
UGC08286,0.0213432357150745,4.014953062437808,67.74142247111988,0.7417488049500126,14,1,0
UGC08490,0.017515485179913748,3.986944448689191,72.44471519575667,0.7735225481417257,27,1,0
UGC08550,0.05312298024423885,3.9617848888823546,69.3135221800026,1.1321478510615222,8,1,0
UGC08699,0.0103166965178493,2.0795543255141953e-06,51.08354844165321,6.908228939166868,38,0,0
UGC08837,0.03337098088318095,4.057617298973906,66.23180866941554,1.3535400858917543,5,1,0
UGC09037,0.10504287579004534,4.21457083198778,73.41994401717662,0.22694447514469024,19,1,0
UGC09133,0.010252366069696,1.6561452186202505e-06,50.99687742607826,5.1713481083402675,65,0,1
UGC09992,0.1452413799183937,4.171780302153689,70.55986458769598,1.4989376099006086,2,1,0
UGC10310,0.08669635846814935,3.881308438167492,69.25211583156998,1.0866427438451787,4,1,0
UGC11455,0.0111028807540251,4.195977014475549,68.86555919374165,0.5576379367955357,33,1,0
UGC11557,0.0121694368906517,3.8463398013957137,64.63939209678816,1.4877177674737783,9,1,0
UGC11820,0.012072451259020251,3.666159335753605,59.13458461018367,3.968348141312646,7,1,0
UGC11914,0.010108664000272449,7.686304044606512e-06,50.988817874635245,5.97874386567906,62,0,1
UGC12506,0.013093646086892001,4.120759780427367,65.14892893542887,0.4770736553267791,28,1,0
UGC12632,0.0426905994697675,4.136528866765353,69.522368083203,0.8252933339620782,12,1,0
UGC12732,0.0876488562438529,3.806836027269492,72.45315162624536,1.361342763510086,13,1,0
UGCA281,0.0106652060135393,3.9467301010963034,54.85367024583776,8.920336954231232,4,0,0
UGCA442,0.0908793479894032,4.003520056812361,72.84265465324845,3.097637343157713,5,1,0
UGCA444,0.13045681079575194,3.8828476022542184,72.33768707376608,5.180377327278433,33,0,0
