Galaxy,V_flat_kms,M_b_Msun,V_ITSM_kms,Residual_kms,ML_source
UGC07603,63.0,294750640.17867094,37.428189497754,25.571810502246002,mcmc
UGC07608,66.0,667603516.7913808,45.91607793100811,20.08392206899189,mcmc
UGC07690,56.9,537214703.3936896,43.48826715907645,13.411732840923548,mcmc
UGC07866,30.6,114375463.9356817,29.540534395772546,1.059465604227455,mcmc
UGC08286,83.8,1323070554.5316572,54.47922005296024,29.32077994703976,mcmc
UGC08490,77.6,1212964597.8720896,53.308585835220185,24.29141416477981,mcmc
UGC08550,57.5,621430408.0098319,45.100697190894564,12.399302809105436,mcmc
UGC08699,182.0,7328218051.385563,83.57660513252584,98.42339486747416,mcmc
UGC08837,46.6,536054706.3193565,43.46477228740913,3.1352277125908685,mcmc
UGC09037,150.0,36033267139.823524,124.45462505002104,25.545374949978964,mcmc
UGC09133,227.0,68589653525.70601,146.18398028407083,80.81601971592917,mcmc
UGC09992,33.4,342446644.5759995,38.85826083764307,-5.458260837643074,mcmc
UGC10310,72.4,1914370072.6618438,59.7505083357839,12.649491664216107,mcmc
UGC11455,272.0,28063517667.323864,116.91511393922107,155.08488606077893,mcmc
UGC11557,81.6,2917791062.986769,66.38938992863157,15.210610071368421,mcmc
UGC11820,81.25,4614552468.25161,74.45048434813795,6.799515651862052,mcmc
UGC11914,297.0,3100051866.5268235,67.40271189399313,229.59728810600689,mcmc
UGC12506,226.0,81345470034.96742,152.55219947387974,73.44780052612026,mcmc
UGC12632,73.1,2520910008.166369,64.00655691922837,9.093443080771621,mcmc
UGC12732,95.5,6907078698.144081,82.34907617666394,13.150923823336058,mcmc
UGCA281,28.8,25904603.842579097,20.37883575696564,8.421164243034362,mcmc
UGCA442,56.5,428013133.6266666,41.08652434186447,15.413475658135532,mcmc
UGCA444,37.6,118369866.1955874,29.795139254752556,7.804860745247446,mcmc
